Created As Omnic File,BIOL 001
Raman Shift / cm-1,INT
2568.12,16
2567.16,100
2566.20,119
2565.23,72
2564.27,4
2563.30,-39
2562.34,-19
2561.37,42
2560.41,71
2559.45,51
2558.48,11
2557.52,-23
2556.55,-21
2555.59,17
2554.62,53
2553.66,51
2552.70,12
2551.73,-33
2550.77,-60
2549.80,-79
2548.84,-111
2547.88,-139
2546.91,-110
2545.95,-52
2544.98,-35
2544.02,-14
2543.05,37
2542.09,74
2541.13,65
2540.16,12
2539.20,-40
2538.23,-40
2537.27,0
2536.30,23
2535.34,16
2534.38,15
2533.41,13
2532.45,-19
2531.48,-52
2530.52,-70
2529.55,-80
2528.59,-65
2527.63,-29
2526.66,-7
2525.70,-2
2524.73,11
2523.77,9
2522.81,-43
2521.84,-95
2520.88,-102
2519.91,-77
2518.95,-58
2517.98,-97
2517.02,-135
2516.06,-124
2515.09,-89
2514.13,-36
2513.16,34
2512.20,67
2511.23,25
2510.27,-47
2509.31,-87
2508.34,-68
2507.38,-12
2506.41,20
2505.45,5
2504.48,-27
2503.52,-42
2502.56,-26
2501.59,-5
2500.63,-4
2499.66,-11
2498.70,-0
2497.74,40
2496.77,77
2495.81,83
2494.84,67
2493.88,16
2492.91,-9
2491.95,9
2490.99,22
2490.02,37
2489.06,62
2488.09,58
2487.13,17
2486.16,-29
2485.20,-57
2484.24,-43
2483.27,16
2482.31,70
2481.34,99
2480.38,112
2479.41,85
2478.45,23
2477.49,-22
2476.52,-37
2475.56,-46
2474.59,-62
2473.63,-59
2472.66,-23
2471.70,1
2470.74,-22
2469.77,-53
2468.81,-57
2467.84,-39
2466.88,18
2465.92,85
2464.95,89
2463.99,56
2463.02,33
2462.06,21
2461.09,-1
2460.13,-29
2459.17,-52
2458.20,-65
2457.24,-74
2456.27,-82
2455.31,-70
2454.34,-23
2453.38,50
2452.42,117
2451.45,127
2450.49,74
2449.52,19
2448.56,11
2447.59,33
2446.63,37
2445.67,25
2444.70,34
2443.74,97
2442.77,198
2441.81,269
2440.85,284
2439.88,276
2438.92,241
2437.95,192
2436.99,162
2436.02,152
2435.06,149
2434.10,164
2433.13,198
2432.17,234
2431.20,273
2430.24,274
2429.27,239
2428.31,203
2427.35,153
2426.38,103
2425.42,62
2424.45,27
2423.49,17
2422.52,55
2421.56,132
2420.60,212
2419.63,258
2418.67,245
2417.70,192
2416.74,163
2415.78,153
2414.81,103
2413.85,26
2412.88,-52
2411.92,-95
2410.95,-46
2409.99,68
2409.03,131
2408.06,86
2407.10,-10
2406.13,-92
2405.17,-112
2404.20,-67
2403.24,-2
2402.28,49
2401.31,61
2400.35,32
2399.38,10
2398.42,22
2397.45,54
2396.49,71
2395.53,55
2394.56,26
2393.60,21
2392.63,20
2391.67,-30
2390.71,-81
2389.74,-59
2388.78,-0
2387.81,61
2386.85,93
2385.88,85
2384.92,57
2383.96,21
2382.99,-25
2382.03,-63
2381.06,-44
2380.10,39
2379.13,140
2378.17,226
2377.21,277
2376.24,274
2375.28,222
2374.31,128
2373.35,14
2372.38,-60
2371.42,-57
2370.46,-13
2369.49,10
2368.53,3
2367.56,19
2366.60,70
2365.64,98
2364.67,76
2363.71,19
2362.74,-32
2361.78,-31
2360.81,15
2359.85,46
2358.89,13
2357.92,-62
2356.96,-108
2355.99,-98
2355.03,-54
2354.06,10
2353.10,52
2352.14,33
2351.17,-14
2350.21,-41
2349.24,-4
2348.28,74
2347.31,151
2346.35,185
2345.39,141
2344.42,55
2343.46,2
2342.49,1
2341.53,8
2340.57,12
2339.60,42
2338.64,101
2337.67,154
2336.71,131
2335.74,54
2334.78,9
2333.82,-5
2332.85,-17
2331.89,-12
2330.92,10
2329.96,48
2328.99,117
2328.03,186
2327.07,187
2326.10,144
2325.14,138
2324.17,169
2323.21,175
2322.24,121
2321.28,44
2320.32,8
2319.35,18
2318.39,52
2317.42,84
2316.46,92
2315.49,79
2314.53,75
2313.57,93
2312.60,101
2311.64,77
2310.67,68
2309.71,96
2308.75,99
2307.78,67
2306.82,39
2305.85,22
2304.89,6
2303.92,0
2302.96,12
2302.00,14
2301.03,-16
2300.07,-22
2299.10,28
2298.14,40
2297.17,3
2296.21,13
2295.25,27
2294.28,-4
2293.32,-25
2292.35,14
2291.39,67
2290.42,75
2289.46,36
2288.50,-29
2287.53,-68
2286.57,-40
2285.60,4
2284.64,31
2283.68,45
2282.71,39
2281.75,41
2280.78,60
2279.82,78
2278.85,81
2277.89,54
2276.93,18
2275.96,22
2275.00,65
2274.03,93
2273.07,97
2272.10,96
2271.14,92
2270.18,102
2269.21,127
2268.25,123
2267.28,67
2266.32,1
2265.35,-9
2264.39,43
2263.43,87
2262.46,93
2261.50,118
2260.53,197
2259.57,277
2258.61,260
2257.64,129
2256.68,-19
2255.71,-108
2254.75,-93
2253.78,12
2252.82,107
2251.86,140
2250.89,124
2249.93,83
2248.96,112
2248.00,215
2247.03,200
2246.07,57
2245.11,-18
2244.14,-7
2243.18,20
2242.21,37
2241.25,27
2240.28,14
2239.32,25
2238.36,50
2237.39,65
2236.43,51
2235.46,-4
2234.50,-69
2233.54,-74
2232.57,-32
2231.61,-2
2230.64,43
2229.68,86
2228.71,53
2227.75,-6
2226.79,-31
2225.82,-46
2224.86,-54
2223.89,-30
2222.93,11
2221.96,33
2221.00,37
2220.04,32
2219.07,-22
2218.11,-123
2217.14,-188
2216.18,-166
2215.21,-73
2214.25,43
2213.29,104
2212.32,66
2211.36,-13
2210.39,-51
2209.43,-41
2208.47,-27
2207.50,-35
2206.54,-61
2205.57,-75
2204.61,-41
2203.64,30
2202.68,84
2201.72,101
2200.75,92
2199.79,83
2198.82,92
2197.86,95
2196.89,66
2195.93,2
2194.97,-74
2194.00,-130
2193.04,-136
2192.07,-89
2191.11,-17
2190.14,45
2189.18,88
2188.22,123
2187.25,124
2186.29,86
2185.32,58
2184.36,57
2183.40,52
2182.43,16
2181.47,-42
2180.50,-94
2179.54,-111
2178.57,-81
2177.61,-27
2176.65,25
2175.68,46
2174.72,30
2173.75,2
2172.79,-23
2171.82,-41
2170.86,-45
2169.90,-39
2168.93,-33
2167.97,-27
2167.00,-30
2166.04,-45
2165.07,-57
2164.11,-46
2163.15,-20
2162.18,0
2161.22,1
2160.25,-18
2159.29,-43
2158.32,-39
2157.36,-6
2156.40,6
2155.43,-31
2154.47,-87
2153.50,-110
2152.54,-86
2151.58,-32
2150.61,18
2149.65,32
2148.68,12
2147.72,-0
2146.75,13
2145.79,36
2144.83,58
2143.86,56
2142.90,3
2141.93,-87
2140.97,-158
2140.00,-173
2139.04,-153
2138.08,-125
2137.11,-86
2136.15,-44
2135.18,-43
2134.22,-72
2133.25,-63
2132.29,-8
2131.33,45
2130.36,71
2129.40,57
2128.43,8
2127.47,-40
