Created As Omnic File,BIOL 012
Raman Shift / cm-1,INT
2868.00,1421
2867.04,1399
2866.07,1366
2865.11,1295
2864.14,1230
2863.18,1211
2862.22,1178
2861.25,1099
2860.29,1017
2859.32,974
2858.36,959
2857.39,947
2856.43,910
2855.47,856
2854.50,820
2853.54,785
2852.57,726
2851.61,643
2850.64,569
2849.68,534
2848.72,507
2847.75,449
2846.79,386
2845.82,347
2844.86,326
2843.89,312
2842.93,296
2841.97,281
2841.00,259
2840.04,228
2839.07,205
2838.11,186
2837.15,151
2836.18,110
2835.22,76
2834.25,42
2833.29,11
2832.32,9
2831.36,32
2830.40,59
2829.43,65
2828.47,48
2827.50,30
2826.54,24
2825.57,10
2824.61,-21
2823.65,-44
2822.68,-31
2821.72,26
2820.75,96
2819.79,128
2818.82,102
2817.86,50
2816.90,1
2815.93,-20
2814.97,-3
2814.00,29
2813.04,31
2812.08,0
2811.11,-15
2810.15,-13
2809.18,-8
2808.22,1
2807.25,-2
2806.29,-27
2805.33,-43
2804.36,-48
2803.40,-49
2802.43,-41
2801.47,-24
2800.50,-17
2799.54,-27
2798.58,-34
2797.61,-34
2796.65,-39
2795.68,-40
2794.72,-37
2793.75,-39
2792.79,-48
2791.83,-67
2790.86,-81
2789.90,-73
2788.93,-58
2787.97,-46
2787.00,-21
2786.04,14
2785.08,42
2784.11,51
2783.15,30
2782.18,-18
2781.22,-60
2780.26,-73
2779.29,-72
2778.33,-74
2777.36,-64
2776.40,-38
2775.43,-39
2774.47,-74
2773.51,-75
2772.54,-43
2771.58,-26
2770.61,-24
2769.65,-51
2768.68,-87
2767.72,-96
2766.76,-97
2765.79,-103
2764.83,-107
2763.86,-95
2762.90,-62
2761.93,-35
2760.97,-41
2760.01,-49
2759.04,-49
2758.08,-47
2757.11,-41
2756.15,-55
2755.19,-88
2754.22,-102
2753.26,-78
2752.29,-36
2751.33,-4
2750.36,22
2749.40,44
2748.44,43
2747.47,22
2746.51,-16
2745.54,-48
2744.58,-59
2743.61,-56
2742.65,-36
2741.69,-9
2740.72,0
2739.76,-10
2738.79,-29
2737.83,-37
2736.86,-35
2735.90,-34
2734.94,-25
2733.97,-10
2733.01,-2
2732.04,3
2731.08,1
2730.12,4
2729.15,20
2728.19,43
2727.22,67
2726.26,86
2725.29,89
2724.33,80
2723.37,70
2722.40,56
2721.44,32
2720.47,11
2719.51,7
2718.54,32
2717.58,80
2716.62,134
2715.65,159
2714.69,141
2713.72,99
2712.76,64
2711.79,54
2710.83,51
2709.87,56
2708.90,71
2707.94,64
2706.97,41
2706.01,20
2705.05,-14
2704.08,-30
2703.12,0
2702.15,45
2701.19,58
2700.22,34
2699.26,-0
2698.30,-22
2697.33,-9
2696.37,37
2695.40,59
2694.44,33
2693.47,10
2692.51,13
2691.55,41
2690.58,85
2689.62,126
2688.65,142
2687.69,136
2686.72,135
2685.76,162
2684.80,202
2683.83,231
2682.87,242
2681.90,229
2680.94,206
2679.98,208
2679.01,245
2678.05,294
2677.08,331
2676.12,361
2675.15,389
2674.19,399
2673.23,379
2672.26,352
2671.30,351
2670.33,365
2669.37,365
2668.40,360
2667.44,384
2666.48,429
2665.51,467
2664.55,488
2663.58,492
2662.62,480
2661.65,473
2660.69,478
2659.73,458
2658.76,422
2657.80,449
2656.83,503
2655.87,514
2654.91,488
2653.94,445
2652.98,409
2652.01,383
2651.05,366
2650.08,365
2649.12,369
2648.16,339
2647.19,283
2646.23,251
2645.26,256
2644.30,265
2643.33,277
2642.37,306
2641.41,336
2640.44,336
2639.48,292
2638.51,228
2637.55,189
2636.58,173
2635.62,144
2634.66,110
2633.69,86
2632.73,57
2631.76,19
2630.80,12
2629.83,61
2628.87,137
2627.91,193
2626.94,196
2625.98,155
2625.01,102
2624.05,73
2623.09,78
2622.12,67
2621.16,27
